A,BSL,M,TOTAL,PER,CZ	5183775 	5355219 	5387835 	5343862 	5311148 	5325019 	5353617 	5377803 	5390475 	5383916 	5360347 	5337123 	5331789 	5342116 	5361805 	5384267 	5404052 	5415973 
A,BSL,M,TOTAL,PER,DE	41066785 	41630865 	42018384 	42189515 	42234024 	42254209 	42212074 	42153962 	42114979 	42107199 	42168821 	42251630 	42300144 	42307469 	42318036 	42337670 	42362504 	42375169 
A,BSL,M,TOTAL,PER,DK	2922915 	2946143 	2973666 	3017462 	3046052 	3062376 	3069869 	3073681 	3078166 	3087638 	3099203 	3108672 	3114195 	3112464 	3105373 	3097042 	3092126 	3090127 
A,BSL,M,TOTAL,PER,EA20	169571307 	170854779 	171902286 	172760254 	173281446 	173649076 	173562483 	172944094 	171868459 	170609095 	169497282 	168692885 	168138363 	167667300 	167155772 	166547537 	165873023 	165173810 
A,BSL,M,TOTAL,PER,EE	633415 	649214 	655014 	654236 	653858 	657944 	662437 	666163 	668266 	667472 	664449 	660961 	658105 	655381 	653470 	652799 	653015 	652870 
A,BSL,M,TOTAL,PER,EL	5114747 	5090156 	5042861 	4896387 	4753881 	4621381 	4494559 	4361694 	4220076 	4079976 	3951176 	3844322 	3768042 	3718720 	3691025 	3677503 	3669384 	3663823 
A,BSL,M,TOTAL,PER,ES	23237152 	23462344 	23729819 	23965751 	24124275 	24276114 	24346133 	24250896 	23986760 	23621991 	23243029 	22930936 	22724658 	22599790 	22498437 	22362456 	22187029 	21990152 
A,BSL,M,TOTAL,PER,EU27_2020	218344994 	220155151 	221149021 	221332071 	221223685 	221182612 	220791929 	219893874 	218505250 	216854565 	215288216 	214041787 	213145993 	212424259 	211764055 	211084452 	210402113 	209708694 
A,BSL,M,TOTAL,PER,FI	2743101 	2769218 	2787926 	2789240 	2778411 	2763055 	2746085 	2727149 	2704898 	2682762 	2659921 	2634569 	2605024 	2570297 	2530069 	2489004 	2450738 	2415134 
A,BSL,M,TOTAL,PER,FR	32835985 	32998556 	33205036 	33538679 	33819745 	34041472 	34137431 	34137188 	34065969 	33974515 	33913983 	33904770 	33908959 	33889515 	33824169 	33731603 	33619329 	33493600 
A,BSL,M,TOTAL,PER,HR	1862293 	1859696 	1844935 	1800755 	1764514 	1729223 	1696273 	1665974 	1637990 	1612073 	1588484 	1565807 	1545871 	1528826 	1514087 	1501209 	1489252 	1479589 
A,BSL,M,TOTAL,PER,HU	4644875 	4644700 	4630470 	4594256 	4563989 	4544551 	4536606 	4529679 	4525302 	4517941 	4502319 	4486804 	4480600 	4482234 	4492562 	4508414 	4527760 	4548107 
A,BSL,M,TOTAL,PER,IE	2503707 	2550384 	2586745 	2658543 	2730514 	2804454 	2871432 	2920630 	2945839 	2952432 	2949278 	2945361 	2945393 	2946019 	2940594 	2925072 	2900349 	2871320 
A,BSL,M,TOTAL,PER,IS	193095 	198654 	207801 	226966 	244126 	259479 	272780 	284267 	294386 	303495 	311263 	317219 	321223 	323240 	323643 	323275 	322796 	322488 
A,BSL,M,TOTAL,PER,IT	28818956 	28822758 	28804004 	28810313 	28827549 	28820496 	28709321 	28439749 	28020475 	27531178 	27084889 	26759222 	26555931 	26403400 	26225403 	25990595 	25717204 	25436619 
A,BSL,M,TOTAL,PER,LT	1306599 	1331395 	1334925 	1298403 	1257335 	1223516 	1192396 	1163629 	1136002 	1108681 	1081139 	1053830 	1028089 	1004266 	983224 	965856 	953393 	943992 
